Question Name,Question Description,Question Examples
Print the pattern | Set-1,"You are given a number n. You need to print the pattern for the given value of n.

For n = 2 the pattern will be 
2 2 1 1
2 1

For n = 3 the pattern will be 
3 3 3 2 2 2 1 1 1
3 3 2 2 1 1
3 2 1
Note: Instead of printing a new line print a ""$"" without quotes. After printing the total output, end of the line(""$"") is expected.

Examples :
Constraints:
1 <= n <= 40",['Input: 2\nOutput: 2 2 1 1 $2 1 $\nInput: 3\nOutput: 3 3 3 2 2 2 1 1 1 $3 3 2 2 1 1 $3 2 1 $']
Multiplication Table,"Create the multiplication table of a given number N and return the table as an array.
Example 1:
Example 2:
Your Task:  
You don't need to read input. Your task is to complete the function getTable() which takes an integer N as input parameter and returns a list of integers denoting the multiplication of table of N from 1 to 10. 

Expected Time Complexity: O(1)
Expected Auxiliary Space: O(1)
Constraints: 
1 <= N <= 106","['Input:\nN = 9\n\nOutput:\n9 18 27 36 45 54 63 72 81 90\n\nExplanation:\nThe table of 9 is the output whose 1st \nterm is 9 and the 10th term is 90.', 'Input:\nN = 2\n\nOutput:\n2 4 6 8 10 12 14 16 18 20']"
Series AP,"Given the first 2 terms a1 and a2 of an Arithmetic Series.Find the nth term of the series. 
Example 1:
Example 2:
Your Task:
You don't need to read input or print anything.Your Task is to complete the function nthTermOfAP() which takes three integers a1, a2 and n as input parameters and returns the nth term of the AP that has a1 and a2 as the first and second terms respectively.
Expected Time Complexity:O(1)
Expected Auxillary Space:O(1)
Constraints:
-104 <= a1 , a2 <= 104
1 <= n <= 104
 ","['Input:\na1 = 2\na2 = 3\nn = 4\nOutput: 5\nExplanation:\nThe series is: 2,3,4,5,6....\nThus,4th term is 5.', 'Input:\na1 = 1\na2 = 3\nn = 10\nOutput: 19\nExplanation:\nThe series is: 1,3,5,7,9,11,13,15,17,19,21..\nThus,10th term is 19.']"
Series GP,"Given the A and R i,e first term and common ratio of a GP series. Find the Nth term of the series.
Note: As the answer can be rather large print its modulo 1000000007 (109 + 7).
Example 1:
Example 2:
 
Your Task:
You don't need to read or print anything. Your task is to complete the function Nth_term() which takes A, R and N as input parameter ans returns Nth term of the GP series modulo 109 + 7.
 
Expected Time Complexity: O(log2(N))
Expected Space Complexity: O(1)

Constraints:
1 <= A, R, N <= 1000000","['Input: A = 2, R = 2, N = 4\nOutput: 16\nExplanation: The GP series is \n2, 4, 8, 16, 32,... in which 16 \nis th 4th term.', 'Input: A = 4, R = 3, N = 3\nOutput: 36\nExplanation: The GP series is\n4, 12, 36, 108,.. in which 36 is\nthe 3rd term.']"
Closest Number,"Given  two integers N and M. The problem is to find the number closest to N and divisible by M. If there are more than one such number, then output the one having maximum absolute value.
 
Example 1:
Example 2:
 
Your Task:
You don't need to read input or print anything. Your task is to complete the function closestNumber() which takes an Integer n as input and returns the answer.
 
Expected Time Complexity: O(1)
Expected Auxiliary Space: O(1)
 
Constraints:
-105 <= N <= 105","['Input:\nN = 13 , M = 4\nOutput:\n12\nExplanation:\n12 is the Closest Number to\n13 which is divisible by 4.', 'Input:\nN = -15 , M = 6\nOutput:\n-18\nExplanation:\n-12 and -18 are both similarly close to\n-15 and divisible by 6. but -18 has\nthe maximum absolute value.\nSo, Output is -18']"
Armstrong Numbers,"You are given a 3-digit number n, Find whether it is an Armstrong number or not.
Note: Return ""true"" if it is an Armstrong number else return ""false"".
Examples
Expected Time Complexity: O(1)
Expected Auxiliary Space: O(1) 
Constraints:
100 ≤ n <1000 ","['Input: n = 153\nOutput: true\nExplanation: 153 is an Armstrong number since 13 + 53 + 33 = 153. Hence answer is ""true"".\nInput: n = 372\nOutput: false\nExplanation: 372 is not an Armstrong number since 33 + 73 + 23 = 378. Hence answer is ""false"".']"
Sum of Digit is Pallindrome or not,"Given a number n.Find if the digit sum(or sum of digits) of n is a Palindrome number or not.
Note: A Palindrome number is a number that stays the same when reversed. Example- 121 , 131 , 7 etc.
Example 1:
Example 2:
Your Task:
You don't need to read input or print anything.Your Task is to complete the function isDigitSumPalindrome() which takes a number n as input parameter and returns 1 if the Digit sum of n is a palindrome. Otherwise, it returns 0.
Expected Time Complexity: O(log(n))
Expected Auxillary Space: O(1)
Constraints:
1 <= n <= 109","['Input:\nn = 56\nOutput: 1\nExplanation:\nThe digit sum of 56 is 5+6=11.Since, 11 is a palindrome number.Thus, answer is 1.', 'Input:\nn = 98\nOutput: 0\nExplanation:\nThe digit sum of 98 is 9+8=17. Since 17 is not a palindrome,thus, answer is 0.']"
Reverse digits,"You are given an integer N, reverse the digits of given number N, ensuring that the reversed number has no leading zeroes. Return the resulting reversed number.
Example 1:
Example 2:
Your Task:
You don't need to read or print anything. Your task is to complete the function reverse_digit() which takes N as input parameter and returns the reversed number.
 
Expected Time Complexity: O(Log(N))
Expected Space Complexity: O(1)
 
Constraints:
1 <= N <= 1015","['Input: 200\nOutput: 2\nExplanation: By reversing the digits of \nnumber, number will change into 2.', 'Input : 122\nOutput: 221\nExplanation: By reversing the digits of \nnumber, number will change into 221.']"
Print the Kth Digit,"Given two numbers A and B, find Kth digit from right of AB.
 
Example 1:
Example 2:
Your Task:
You don't need to read input or print anything. Your task is to complete the function kthDigit() which takes integers A, B, K as input parameters and returns Kth Digit of AB from right side.
 
Expected Time Complexity: O(log AB)
Expected Space Complexity: O(1)
 
Constraints:
1 <= A,B <= 15
1 <=K<= digits in AB
 ","['Input:\nA = 3\nB = 3\nK = 1\nOutput:\n7\nExplanation:\n33 = 27 and 1st\ndigit from right is \n7', 'Input:\nA = 5\nB = 2\nK = 2\nOutput:\n2\nExplanation:\n52 = 25 and second\ndigit from right is\n2.']"
Binary number to decimal number,"Given a Binary Number B, find its decimal equivalent.
 
Example 1:
Example 2:
 
Your Task:
You don't need to read or print anything. Your task is to complete the function binary_to_decimal() which takes the binary number as string input parameter and returns its decimal equivalent.
 
Expected Time Complexity: O(K * Log(K)) where K is number of bits in binary number.
Expected Space Complexity: O(1)
 
Constraints:
1 <= number of bits in binary number  <= 16","['Input: B = 10001000\nOutput: 136', 'Input: B = 101100\nOutput: 44']"
